index;Alloy name;Al;Co;Fe;Ni;Si;Cr;Mn;Nb;Mo;Ti;Cu;V;Zr;Ta;Hf;W;PROPERTY: Microstructure;PROPERTY: Processing method;PROPERTY: Calculated Density (g/cm$^3$);PROPERTY: Type of test;PROPERTY: YS (MPa);Smix;am;Tm;Xm;rm;dX;da;dT;dr
256;Al0.304 Co1 Cr1 Fe1 Ni1;0.071;0.232;0.232;0.232;;0.232;;;;;;;;;;;FCC ++;WROUGHT;7.6;T;215;12.82752351;3.02444;1790.467;1.80327;1.52914;0.107650473;0.448231468;283.0210537;0.075201097
257;Al0.304 Co1 Cr1 Fe1 Ni1;0.071;0.232;0.232;0.232;;0.232;;;;;;;;;;;FCC ++;WROUGHT;7.6;T;285;12.82752351;3.02444;1790.467;1.80327;1.52914;0.107650473;0.448231468;283.0210537;0.075201097
258;Al0.304 Co1 Cr1 Fe1 Ni1;0.071;0.232;0.232;0.232;;0.232;;;;;;;;;;;FCC;WROUGHT;7.6;T;263;12.82752351;3.02444;1790.467;1.80327;1.52914;0.107650473;0.448231468;283.0210537;0.075201097
259;Al0.304 Co1 Cr1 Fe1 Ni1;0.071;0.232;0.232;0.232;;0.232;;;;;;;;;;;FCC ++;WROUGHT;7.6;T;490;12.82752351;3.02444;1790.467;1.80327;1.52914;0.107650473;0.448231468;283.0210537;0.075201097
260;Al0.304 Co1 Cr1 Fe1 Ni1;0.071;0.232;0.232;0.232;;0.232;;;;;;;;;;;FCC ++;CAST;7.6;T;175;12.82752351;3.02444;1790.467;1.80327;1.52914;0.107650473;0.448231468;283.0210537;0.075201097
261;Al0.304 Co1 Cr1 Fe1 Ni1;0.071;0.232;0.232;0.232;;0.232;;;;;;;;;;;FCC ++;ANNEAL;7.6;T;305;12.82752351;3.02444;1790.467;1.80327;1.52914;0.107650473;0.448231468;283.0210537;0.075201097
262;Al0.304 Co1 Cr1 Fe1 Ni1;0.071;0.232;0.232;0.232;;0.232;;;;;;;;;;;FCC ++;ANNEAL;7.6;T;280;12.82752351;3.02444;1790.467;1.80327;1.52914;0.107650473;0.448231468;283.0210537;0.075201097
263;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC B2;CAST;6.7;C;1380;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
264;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC B2;ANNEAL;6.7;C;1430;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
265;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC B2;ANNEAL;6.7;C;1690;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
266;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC B2;ANNEAL;6.7;C;1220;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
